location,n_peak,peak_magnitude_norm,cluster_fd_km,cluster_fd_agg,cluster_fd_jenks,cluster_sturges_jenks,cluster_scott_jenks,mask_use,mobility,vaccination_1_dose,vaccination_full,reproduction_rate,new_tests,positive_rate,tests_per_case,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,life_expectancy,human_development_index
Benin,1.0,0.0605621033195417,8.0,32.0,1.0,1.0,1.0,54.64,-21.0,0.0,0.0,0.8,11847.0,279.6937666666667,5.966666666666666,30.56,99.11,18.8,3244.0,1942.0,2064236.0,49.6,235848.0,0.99,0.6,12.3,11035.0,61.77,545.0
Benin,2.0,0.359363045829366,29.0,13.0,2.0,1.0,1.0,52.57,1.0,128417.0,94718.0,0.49,11847.0,279.6937666666667,5.966666666666666,44.44,99.11,18.8,3244.0,1942.0,2064236.0,49.6,235848.0,0.99,0.6,12.3,11035.0,61.77,545.0
Bolivia,1.0,1.26967813549856,21.0,27.0,3.0,1.0,2.0,83.71,-54.0,0.0,0.0,1.02,3519.0,0.5453,1.8,89.81,10202.0,25.4,6704.0,4393.0,6885829.0,7.1,204299.0,6.89,29.0,37.8,25383.0,71.51,718.0
Bolivia,2.0,1.74709680246514,32.0,12.0,4.0,1.0,2.0,82.23,-32.0,0.0,0.0,1.1,3628.0,0.4008,2.5,30.56,10202.0,25.4,6704.0,4393.0,6885829.0,7.1,204299.0,6.89,29.0,37.8,25383.0,71.51,718.0
Bolivia,3.0,2.33489599161498,1.0,7.0,5.0,2.0,2.0,81.48,-14.0,1271262.0,345396.0,1.11,14325.0,252.0,4.0,27.78,10202.0,25.4,6704.0,4393.0,6885829.0,7.1,204299.0,6.89,10.933333333333332,23.599999999999998,25383.0,71.51,718.0
Bolivia,4.0,8.24815363803852,30.0,5.0,13.0,3.0,5.0,73.48,7.0,6406691.0,4903383.0,1.19,29723.0,0.4633,2.2,29.63,10202.0,25.4,6704.0,4393.0,6885829.0,7.1,204299.0,6.89,6.433333333333334,39.46666666666666,25383.0,71.51,718.0
Bosnia and Herzegovina,1.0,4.64802655410397,23.0,23.0,8.0,2.0,3.0,47.53,-16.0,0.0,0.0,1.21,4456.0,0.4531,2.2,42.59,68496.0,42.5,16569.0,10711.0,11713895.0,0.2,329635.0,10.08,30.2,47.7,97164.0,77.4,0.78
Bosnia and Herzegovina,2.0,4.69091762078644,23.0,23.0,8.0,2.0,3.0,45.86,-30.0,0.0,10000.0,1.17,3503.6666666666665,0.3301,3.0,42.59,68496.0,42.5,16569.0,10711.0,11713895.0,0.2,329635.0,10.08,30.2,47.7,97164.0,77.4,0.78
Bosnia and Herzegovina,3.0,6.82302829426679,6.0,2.0,11.0,3.0,4.0,23.98,-22.0,935118.0,831493.0,1.31,5070.666666666667,0.2531666666666667,4.433333333333334,35.19,68496.0,42.5,16569.0,10711.0,11713895.0,0.2,329635.0,10.08,30.2,47.7,97164.0,77.4,0.78
Botswana,1.0,8.4787413996773,30.0,25.0,13.0,3.0,5.0,71.42,31.0,243894.0,132466.0,1.26,18669.666666666668,0.5721,1.7,53.7,4044.0,25.8,3941.0,2242.0,15807374.0,2.5,237372.0,4.81,5.7,34.4,83241.0,69.59,735.0
